honorario_id,cliente_id,numero_processo,valor_total_contratado,n_parcelas,parcelas_pagas,valor_pago,valor_em_aberto,data_contrato,data_vencimento,forma_pagamento,honorario_exito,percentual_exito,status_pagamento
30,719,7486029-45.2024.4.25.3159,8938.40,1,0,0.00,9434.64,10/02/2023,02/06/27,PIX,N,,Em Dia
31,231,4229107-99.2020.7.61.3978,29421.54,5,5,"R$ 29.421,55","R$ 0,00",27/06/2025,14/12/26,pix,não,20,em dia
32,1254,2837371-36.2022.7.88.5428,44742.99,3,1,14914.33,29828.66,09/06/2025,12 de setembro de 2026,PIX,N,20,quitado
33,1486,5514997-95.2024.1.84.8098,36143.03,8,1,4517.88,"R$ 31.625,16",13/04/2025,5 de agosto de 2024,PIX,,20,quitado
34,1123,9885734-21.2023.9.74.3450,28174.06,6,4,18782.72,9391.36,29/04/26,07/04/24,boleto,S,26%,atrasado
35,786,4299848-20.2023.2.47.7396,"R$ 35.421,07",3,0,0.00,35421.06,10 de abril de 2022,2024-07-24,Boleto,S,20,quitado
36,1171,1887163-62.2025.9.93.1037,"R$ 74.409,59",5,0,0.00,74409.60,07/09/2024,17/07/2026,pix,Sim,0.16,em dia
37,1232,2461262-96.2021.6.48.1315,41026.12,3,3,41026.11,430.14,18/10/2022,28/04/2025,boleto,S,15%,quitado
38,870,7789809-22.2020.1.73.9031,"R$ 14.970,54",1,0,0.00,14970.54,18 de março de 2026,21/01/26,PIX,N,0.13,quitado
39,1244,2909764-51.2025.7.78.2223,29367.76,10,8,23494.24,5873.56,24 de junho de 2022,1 de outubro de 2024,pix,sim,20,em dia
40,131,5116418-16.2025.3.98.2234,32957.35,6,0,0.00,32957.34,05/01/22,16 de dezembro de 2025,transferência,N,15%,Em Dia
41,6,6686912-30.2025.4.68.7078,63368.28,12,10,52806.90,10561.38,29 de outubro de 2022,02/02/2027,Boleto,,19%,atrasado
42,456,4384627-80.2021.2.13.1061,"40873,23",2,1,20436.62,20436.62,16/08/2024,11/02/26,TED,nao,15%,ATRASADO
43,1029,6445422-21.2020.5.39.8096,75324.69,1,0,0.00,"75324,69",2022-06-25,27 de abril de 2024,TED,Sim,20,ATRASADO
44,1347,2753004-76.2021.8.83.9874,77475.25,9,2,"R$ 17.216,72",60258.52,11/08/21,03/01/2025,boleto,,0.21,em dia
45,1012,5747786-52.2023.7.30.3750,66291.09,12,4,22097.04,44194.08,2026-01-02,12 de setembro de 2024,TED,S,0.24,ATRASADO
46,1133,5116418-16.2025.3.98.2234,68356.04,6,1,11392.67,56963.35,24/01/2020,2027-06-14,TED,N,0.24,atrasado
47,339,9057219-99.2020.9.96.3254,42876.59,8,7,37516.99,5359.57,16/08/22,22/04/2027,Boleto,sim,,ATRASADO
48,1373,8986773-71.2022.6.45.5854,"R$ 8.103,42",7,4,4630.52,3472.89,12/03/2025,10/01/27,TED,sim,0.25,atrasado
49,193,8062805-72.2022.1.22.8771,"R$ 35.425,77",10,3,"10627,74",24798.06,2020-02-12,10 de dezembro de 2024,PIX,sim,15%,quitado
50,882,5210656-44.2021.1.39.2474,42859.69,3,3,42859.68,0.00,2025-01-16,2027-05-19,boleto,N,,
51,1234,4299848-20.2023.2.47.7396,51807.36,4,2,25903.68,26061.45,20/03/22,2025-04-22,TED,sim,15%,em dia
52,765,4084503-92.2025.8.90.5515,23607.82,6,4,"R$ 15.738,56",7823.03,15/10/21,12/01/27,PIX,Sim,0.12,em dia
53,349,1602496-64.2022.5.79.8340,33922.02,11,9,"R$ 27.754,38","R$ 6.167,64",12/06/2020,13 de dezembro de 2024,PIX,sim,20,em dia
54,828,3975387-89.2023.4.55.7631,61800.51,5,5,61800.50,"R$ 0,00",06/02/26,2025-07-17,Boleto,nao,27%,ATRASADO
55,580,5284129-51.2020.3.32.5205,44568.63,5,5,"R$ 44.568,65",0.00,18/04/24,14 de janeiro de 2027,TED,Sim,0.15,atrasado
56,635,8286382-50.2025.4.53.4414,"R$ 74.563,42",6,2,24854.48,49708.96,2020-12-19,28 de maio de 2027,pix,nao,0.27,atrasado
57,1078,5451988-41.2020.2.82.4041,"R$ 58.836,84",10,3,17651.04,"R$ 41.185,76",22/08/25,3 de fevereiro de 2026,Boleto,não,20,ATRASADO
58,389,3541821-31.2021.8.96.1927,16620.62,12,11,"R$ 15.235,55",1385.05,2025-06-09,23 de maio de 2025,transferência,nao,20,em dia
59,235,4687348-31.2023.1.92.6907,26586.28,1,1,26586.28,0.00,20/09/21,2025-05-26,boleto,S,20,quitado
60,1127,9804642-71.2024.4.76.5486,"72476,89",12,11,66437.14,6039.74,28/01/2020,04/06/2027,Boleto,N,,quitado
61,555,9686751-57.2022.7.62.3494,35943.98,3,1,"R$ 11.981,33","R$ 23.962,66",03/07/2021,04/05/27,TED,sim,26%,Em Dia
62,638,7553290-31.2023.9.36.9282,66483.40,9,3,22161.12,44322.24,15/10/2025,03/09/24,Boleto,N,,Em Dia
63,712,4417916-40.2022.7.26.4278,23362.68,4,2,"R$ 11.681,34","R$ 11.681,34",31/01/20,2026-01-30,PIX,Sim,15%,
64,1374,7486029-45.2024.4.25.3159,24473.50,10,4,"R$ 9.789,40",14684.10,16/08/24,16 de março de 2025,TED,Sim,24%,Em Dia
65,1204,1896520-28.2021.5.90.5374,44642.18,6,6,44642.16,"-61,6",23/08/2021,25 de julho de 2024,Boleto,sim,15%,quitado
66,395,1098476-20.2021.1.47.3336,"R$ 56.632,81",4,3,"R$ 42.474,60",13707.55,17/11/2025,2024-09-16,TED,nao,20,ATRASADO
67,28,9824532-76.2023.6.37.2040,65693.03,7,0,0,65693.04,13/03/20,7 de março de 2027,boleto,,0.14,ATRASADO
68,641,5826200-20.2025.1.91.8748,"70909,14",3,1,23636.38,47272.76,17 de dezembro de 2022,14/08/24,TED,sim,26%,ATRASADO
69,628,1013314-48.2023.4.39.2083,73074.46,7,0,0.00,73074.47,01/03/26,10/03/2024,boleto,,15%,atrasado
70,21,1098476-20.2021.1.47.3336,"R$ 62.073,83",12,0,0.00,62073.84,03/11/23,21/05/26,pix,sim,,quitado
71,1256,6476769-27.2021.5.22.2570,68306.66,9,1,7589.63,"60717,04",06/10/2022,24 de setembro de 2025,pix,nao,15%,quitado
72,1164,6339266-27.2025.5.15.6766,"R$ 34.514,96",7,0,0.00,34514.97,16/02/21,29/05/2024,transferência,não,20,
73,266,8607512-63.2021.6.82.1039,48351.32,12,3,12087.84,36263.52,08/03/20,07/03/25,PIX,não,0.20,atrasado
74,875,8717678-27.2025.5.11.4526,15179.58,12,10,12649.60,2529.92,21 de janeiro de 2022,07/08/26,PIX,N,20,
75,425,6404948-40.2021.7.68.7161,"R$ 47.450,37",8,5,"R$ 29.656,50","R$ 17.793,90",2023-11-22,11/06/24,PIX,nao,29%,Em Dia
76,566,6096719-87.2023.1.41.6180,19463.50,11,7,12385.87,"7077,64",2021-04-10,05/03/24,Boleto,Sim,27%,ATRASADO
77,1478,5700249-43.2020.5.57.9341,17099.86,4,2,8549.94,8549.94,26/07/20,23/04/2027,Boleto,sim,0.25,atrasado
78,1316,3541821-31.2021.8.96.1927,71396.13,9,3,23798.70,47597.40,24/11/2025,12 de fevereiro de 2024,transferência,não,20,em dia
79,316,8843195-99.2024.6.39.2836,"R$ 65.147,33",11,2,"11844,96",,24/07/2021,08/07/2024,Boleto,nao,,quitado
80,340,4952151-27.2023.3.38.8762,33809.63,4,0,"R$ 0,00",33809.64,12/06/2020,13 de março de 2024,TED,N,15%,atrasado
81,263,8827641-36.2022.5.59.8715,24041.00,2,1,12020.50,11606.10,18/09/2021,2025-02-20,PIX,S,0.24,
82,221,8892606-62.2022.2.87.2168,32687.95,1,0,"R$ 0,00",32687.95,20/04/23,25/03/2024,boleto,S,20,atrasado
83,204,9970343-38.2020.5.18.4483,54406.72,12,7,31737.23,,10 de fevereiro de 2024,2025-12-20,PIX,nao,0.23,quitado
84,110,7979033-26.2021.6.18.1084,36117.82,4,4,36117.80,0.00,20/08/2021,25/10/25,transferência,sim,,
85,112,4016576-41.2022.7.10.6952,62862.24,8,6,47146.68,15715.56,06/02/2025,20 de dezembro de 2025,PIX,nao,0.10,ATRASADO
86,357,7274275-74.2020.1.22.9780,4370.03,3,3,4370.04,0.00,27/06/20,2027-01-14,transferência,S,15%,em dia
87,1404,2328070-99.2024.8.57.5561,"4171,94",9,9,4171.95,0,12 de setembro de 2023,2027-03-19,PIX,S,20,Em Dia
88,564,1116024-57.2025.8.16.4043,44291.90,4,0,0.00,44291.92,11/01/2024,2026-12-23,PIX,nao,0.18,quitado
89,256,5966644-82.2023.4.88.9951,73292.57,9,7,57005.34,16387.87,21/12/2024,2026-12-02,TED,N,23%,em dia
90,1445,5035093-45.2021.1.27.3097,13605.27,1,1,13605.27,0.00,05/11/2023,08/08/2026,transferência,nao,20,
91,977,5700249-43.2020.5.57.9341,69901.99,8,5,43688.75,26213.25,2022-06-06,16 de fevereiro de 2024,transferência,S,,atrasado
92,369,5853247-29.2020.7.62.8870,52510.05,7,4,30005.76,,2023-04-10,23 de janeiro de 2024,transferência,N,15%,em dia
93,359,1778149-24.2023.1.86.3557,"R$ 53.696,87",3,0,0.00,54119.57,12/02/23,20 de maio de 2027,transferência,N,0.15,atrasado
94,86,3879233-61.2024.5.30.1494,70602.88,9,4,31379.04,39223.80,2026-04-16,23/05/2026,transferência,Sim,20,atrasado
95,1483,1614850-25.2020.8.85.3161,49837.64,3,2,33225.10,16612.55,21/01/25,23/12/2025,PIX,S,20,atrasado
96,226,5112941-62.2021.1.89.5887,28709.62,8,0,0.00,"28746,51",1 de fevereiro de 2021,11/05/24,transferência,,0.13,quitado
97,1136,1024421-54.2022.9.20.2563,41164.17,12,7,"R$ 24.012,45",17151.75,2023-05-08,6 de julho de 2024,Boleto,Sim,15%,atrasado
98,1381,8936104-83.2022.1.39.7934,"77768,18",4,3,"58326,12",19442.04,18/09/2020,30 de abril de 2025,pix,,15%,Em Dia
99,1429,3260101-88.2022.8.37.9169,64318.99,11,8,46777.44,17541.54,24/11/2021,29/02/2024,TED,N,20,
100,1102,1869144-23.2023.5.84.3325,50239.57,11,4,18268.92,31970.61,2020-02-13,10 de maio de 2025,PIX,sim,,quitado
101,997,6018860-77.2022.1.94.1315,76315.60,1,1,76315.60,0.00,2024-04-15,04/04/2024,transferência,N,0.26,em dia
102,1302,8183950-10.2021.5.84.9388,12538.62,3,1,4179.54,"R$ 8.655,78",2022-08-20,21 de janeiro de 2027,transferência,S,0.17,quitado
103,780,1116024-57.2025.8.16.4043,6622.59,12,2,"R$ 1.103,76",5518.80,2023-10-26,19/09/2026,pix,nao,0.20,Em Dia
104,283,5451988-41.2020.2.82.4041,43808.10,8,8,43808.08,"R$ 0,00",10 de junho de 2024,09/09/2024,Boleto,nao,,quitado
105,355,1093623-59.2025.7.92.5441,61961.76,2,1,"R$ 30.980,88","R$ 30.980,88",2021-05-30,05/07/2024,pix,Sim,15%,quitado
106,436,4415624-13.2024.9.14.9480,36079.07,1,1,36079.07,0,12 de outubro de 2021,2025-05-15,transferência,Sim,0.22,quitado
107,1262,9835331-11.2022.6.15.8602,78259.11,5,0,0.00,"78259,1",06/07/25,12/09/2024,PIX,não,0.23,em dia
108,247,2575202-50.2023.1.54.9627,51542.04,6,0,0.00,51542.04,14 de janeiro de 2026,2026-09-23,transferência,N,,ATRASADO
109,445,5996426-23.2022.8.20.3566,65751.33,1,0,"R$ 0,00","R$ 65.751,33",29/12/2025,2026-11-21,PIX,S,17%,quitado
110,1192,6404948-40.2021.7.68.7161,32925.94,4,1,"R$ 8.231,49",24694.47,11/12/2022,24/06/27,TED,S,20,quitado
111,681,3754895-37.2021.6.18.8502,"R$ 52.332,44",2,2,"R$ 52.332,44",0.00,29/04/20,20/06/25,boleto,,15%,
112,210,1557680-16.2021.4.16.4031,"R$ 7.724,16",9,1,"R$ 858,24",6865.92,16 de abril de 2021,11/01/26,Boleto,N,,
113,777,8286382-50.2025.4.53.4414,43689.35,5,2,17475.74,26213.61,16/04/2025,5 de setembro de 2024,Boleto,S,0.20,Em Dia
114,848,6524227-53.2025.1.97.6214,17510.57,7,1,2501.51,15009.06,09/07/24,14/11/24,transferência,N,15%,ATRASADO
115,1360,6368709-92.2024.7.99.9426,16674.09,11,6,9094.98,"7579,15",2025-01-28,2027-01-15,transferência,sim,10%,atrasado
116,172,2328070-99.2024.8.57.5561,20898.20,7,0,0.00,21101.71,2025-01-27,4 de novembro de 2026,transferência,N,,em dia
117,1109,4584224-94.2025.2.57.2511,"R$ 14.915,70",5,3,8949.42,"5966,28",19 de janeiro de 2024,20/03/2027,PIX,nao,20,ATRASADO
118,1416,4326518-76.2023.4.36.8530,33687.48,1,0,0.00,33687.48,10/02/23,26/07/24,PIX,S,0.19,atrasado
119,956,3588109-63.2023.1.26.4223,8198.71,6,5,6832.25,1366.45,2021-12-19,16/10/24,pix,,,
120,1259,5462435-11.2024.9.85.2977,57869.49,9,2,12859.88,45009.58,02/03/22,17/05/24,transferência,S,15%,
121,618,2675642-32.2022.8.65.5499,"48652,03",7,3,20850.87,"27801,16",29 de março de 2021,9 de fevereiro de 2025,transferência,S,15%,quitado
122,935,2100417-68.2021.7.29.9662,"R$ 40.889,05",2,0,0.00,40889.06,11/01/24,14 de junho de 2025,Boleto,S,0.27,ATRASADO
123,811,6686912-30.2025.4.68.7078,62383.04,12,4,20794.36,41588.72,23/06/2024,03/11/2024,TED,nao,15%,quitado
124,1174,7941836-76.2025.4.34.6543,21111.30,11,1,1919.21,19330.71,15 de março de 2021,2024-02-19,pix,nao,15%,
125,979,4460247-99.2024.9.97.4840,46574.98,2,2,"46574,98",0.00,2024-05-09,2025-05-21,transferência,sim,0.10,ATRASADO
126,349,3922248-27.2025.1.42.4047,71391.81,9,6,47594.52,23797.26,03/09/20,31/08/24,Boleto,,0.16,
127,969,7486138-99.2020.5.81.4332,68076.14,12,10,56730.10,"R$ 11.346,02",2021-01-25,2025-07-28,Boleto,sim,16%,ATRASADO
128,746,4085001-92.2022.6.76.8938,"R$ 57.406,60",9,0,0.00,"57406,59",28/02/21,24 de janeiro de 2024,boleto,N,0.24,em dia
129,1329,9071705-28.2021.9.78.4746,78607.23,5,0,"R$ 0,00",78607.25,04/01/2024,2027-05-16,pix,,,atrasado
130,130,8209168-30.2020.1.41.7632,31668.83,11,2,5757.96,25910.82,07/02/22,10/03/2026,pix,Sim,12%,Em Dia
131,442,6260319-38.2024.8.96.1114,34117.00,9,8,30326.24,3790.78,15/03/2022,27/04/27,transferência,N,20,quitado
132,119,2316290-44.2022.7.34.5190,38406.77,1,0,0.00,38406.77,22/01/21,16 de dezembro de 2025,boleto,N,,em dia
133,693,1869144-23.2023.5.84.3325,63630.91,4,3,"R$ 47.723,19","R$ 15.907,73",19 de fevereiro de 2022,4 de março de 2026,transferência,sim,15%,quitado
134,99,4065326-72.2025.8.58.5304,38369.13,12,7,22382.01,"R$ 15.987,15",13 de agosto de 2021,2024-09-18,PIX,sim,0.13,quitado
135,241,9252661-70.2020.1.46.1185,13424.55,5,3,8054.73,5157.04,10/07/24,7 de junho de 2027,PIX,nao,,quitado
136,816,7722274-26.2024.9.14.7062,15703.82,9,5,8724.35,6979.48,22/01/2021,09/12/24,PIX,nao,28%,atrasado
137,403,9214397-26.2023.4.18.6844,29901.57,1,1,"29901,57",0.00,3 de fevereiro de 2023,15 de janeiro de 2025,boleto,Sim,15%,
138,998,4299848-20.2023.2.47.7396,6630.78,2,1,3315.39,3315.39,12/05/2024,19/05/27,boleto,não,27%,em dia
139,686,3975387-89.2023.4.55.7631,29605.78,2,1,14802.89,14802.89,2 de outubro de 2023,05/12/25,pix,S,29%,Em Dia
140,682,7110796-41.2020.3.80.5362,"68422,72",7,0,0.00,,02/12/22,29/06/24,pix,S,15%,atrasado
141,1168,3585301-47.2021.7.73.3469,"77799,32",4,0,0.00,"R$ 77.799,32",27/03/2023,02/11/24,pix,sim,,atrasado
142,1278,1778149-24.2023.1.86.3557,20753.93,2,1,10376.97,10376.97,18/07/24,19/04/24,PIX,N,0.30,quitado
143,721,6953559-38.2025.7.42.9212,36271.76,6,0,0.00,36727.12,2023-12-24,2026-04-16,TED,,0.29,quitado
144,507,6944389-98.2023.1.72.8245,42866.43,11,11,42866.45,0.00,07/01/2024,29/01/24,transferência,,15%,quitado
145,1185,2292432-35.2025.5.83.7063,20558.23,1,1,"R$ 20.558,23",0.00,2020-03-24,14/07/25,transferência,não,0.26,
146,134,1887163-62.2025.9.93.1037,"R$ 64.723,59",1,0,"R$ 0,00",64723.59,17/04/24,13 de março de 2025,pix,nao,15%,quitado
147,553,7999133-20.2023.7.26.1121,"49820,83",7,2,14234.52,35586.30,2020-09-15,03/12/26,pix,,14%,ATRASADO
148,760,3542799-64.2025.6.13.7299,"18066,92",9,1,2007.44,16059.52,12/01/2023,2026-03-12,pix,sim,15%,quitado
149,198,3924425-56.2021.9.58.2912,38515.70,6,5,32096.40,6419.28,28/04/2020,2024-09-13,pix,Sim,0.21,
150,100,6944389-98.2023.1.72.8245,54001.88,2,2,54001.88,0.00,2023-10-19,16/02/24,PIX,S,,quitado
151,222,5112941-62.2021.1.89.5887,39881.60,3,0,0.00,"R$ 39.881,61",7 de janeiro de 2023,20/03/24,pix,não,,
152,1416,6982910-41.2023.8.91.8758,79561.86,9,0,0.00,79561.89,24/05/20,5 de junho de 2025,Boleto,sim,13%,ATRASADO
153,750,1754781-28.2025.6.89.2162,73343.11,2,2,"R$ 73.343,12","R$ 0,00",18 de julho de 2023,16/05/2027,transferência,N,17%,ATRASADO
154,203,3510061-32.2020.9.13.4424,31528.86,10,10,"R$ 31.528,90",0.00,10/10/2024,12/03/25,PIX,não,20,
155,1034,4314934-26.2021.7.14.7244,"66495,26",6,5,55412.70,"R$ 11.082,54",8 de junho de 2024,01/10/25,transferência,nao,,quitado
156,1256,5492622-29.2021.9.92.7737,"78263,12",2,1,39131.56,39131.56,2025-03-28,2027-01-11,pix,sim,21%,Em Dia
157,1153,7633905-83.2022.9.95.2309,75398.24,11,8,54835.12,20563.17,25/07/2021,2024-01-24,transferência,nao,20,
158,726,2909764-51.2025.7.78.2223,4654.38,11,1,423.13,4231.30,4 de agosto de 2024,28 de fevereiro de 2025,PIX,não,18%,ATRASADO
159,860,2660213-63.2022.6.50.8366,43919.10,12,2,7319.84,36599.20,24/04/26,05/06/24,PIX,,25%,Em Dia
160,429,1667591-67.2025.4.69.9424,"R$ 60.361,16",12,6,30180.60,30180.60,2022-04-18,18/03/27,TED,N,0.30,atrasado
161,891,2397582-22.2023.9.93.4223,"45556,65",4,0,0.00,45556.64,2025-11-23,16/05/25,transferência,nao,15%,Em Dia
162,1103,8590346-68.2020.7.63.7780,53214.74,9,3,17738.25,35476.50,03/12/21,19/03/2027,TED,Sim,,atrasado
163,437,6836135-90.2022.9.37.5643,55848.94,3,1,18616.31,37232.62,05/06/25,05/05/2024,transferência,nao,15%,
164,836,1602496-64.2022.5.79.8340,24057.66,8,3,9021.63,15474.47,2024-09-20,15/02/2027,boleto,não,,atrasado
165,125,5853247-29.2020.7.62.8870,51071.69,2,1,25535.85,25535.85,2026-03-25,2024-06-12,TED,N,20,atrasado
166,624,8220628-15.2021.8.54.9077,14797.17,4,1,"R$ 3.699,29",11097.87,25/11/2021,05/07/2026,transferência,Sim,22%,atrasado
167,387,1445483-93.2023.1.61.7357,"62102,78",12,12,62102.76,,2 de julho de 2021,29 de março de 2027,PIX,S,0.23,quitado
168,359,8168450-48.2020.2.65.4570,9900.71,8,7,"R$ 8.663,13","R$ 1.237,59",31/07/21,12/04/2024,Boleto,,20,Em Dia
169,1453,5210656-44.2021.1.39.2474,"R$ 29.996,60",6,3,14998.29,14998.29,14 de setembro de 2022,2024-12-11,TED,S,20,Em Dia
170,307,6036037-32.2025.3.53.7515,51880.43,10,0,0.00,51880.40,15/02/22,24/08/24,TED,,,quitado
171,293,9824532-76.2023.6.37.2040,51198.06,12,10,42665.10,8533.02,25/10/2024,18 de setembro de 2025,transferência,,0.21,quitado
172,515,1273300-90.2024.2.80.7378,69192.65,10,2,13838.52,,2021-04-25,12/04/2025,TED,sim,,atrasado
173,606,5074974-98.2023.8.21.9881,62780.99,11,7,39951.52,22829.44,21/03/25,14 de fevereiro de 2024,boleto,não,15%,
174,423,3879233-61.2024.5.30.1494,"R$ 23.767,15",3,0,0.00,23767.14,23/10/22,29/08/2026,PIX,S,20,quitado
175,951,5747786-52.2023.7.30.3750,66241.16,3,3,66241.17,0.00,21/09/22,2 de janeiro de 2025,boleto,N,,atrasado
176,625,2236315-26.2022.5.82.8939,8295.09,6,4,"R$ 5.530,08",2765.04,28/12/21,9 de novembro de 2026,TED,nao,15%,quitado
177,1401,4721085-96.2020.6.92.9645,"R$ 46.819,94",9,0,"R$ 0,00",47050.94,07/11/24,12/04/2026,PIX,,,em dia
178,582,5401874-62.2025.2.46.8337,53124.47,1,0,"R$ 0,00","R$ 52.654,88",11/02/2024,31/07/25,TED,sim,20,ATRASADO
179,54,1438459-62.2020.7.78.3410,"75839,54",8,2,18959.88,,2020-08-08,10/03/2026,Boleto,não,0.18,Em Dia
180,307,8936104-83.2022.1.39.7934,47972.29,4,4,"47972,28",0.00,14/12/20,19/11/2024,transferência,S,0.17,
181,131,3395583-64.2024.4.41.2181,27440.62,2,2,"R$ 27.440,62","R$ 0,00",2026-02-26,17/01/2027,PIX,nao,15%,em dia
182,484,7999133-20.2023.7.26.1121,18678.55,8,0,0.00,18678.56,2024-08-14,2024-07-03,PIX,S,20,quitado
183,20,4065326-72.2025.8.58.5304,75111.28,1,0,0.00,75111.28,03/07/20,7 de novembro de 2026,PIX,S,0.25,Em Dia
184,1458,5422047-80.2024.8.62.4364,57298.43,3,3,57298.44,0.00,20/11/25,2026-07-22,boleto,Sim,20,Em Dia
185,583,4601686-30.2021.5.52.7745,43507.34,8,1,5438.42,38068.94,17/04/20,2025-10-03,transferência,,,quitado
186,1395,1933296-95.2024.5.69.8317,76310.77,2,2,76310.78,"R$ 0,00",10 de março de 2024,30/07/25,Boleto,não,0.29,atrasado
187,794,2909764-51.2025.7.78.2223,67453.77,3,0,0.00,67453.77,2020-12-31,2025-04-13,Boleto,N,,atrasado
188,537,6260319-38.2024.8.96.1114,62966.90,12,2,10494.48,,2025-03-30,18 de abril de 2026,boleto,S,15%,Em Dia
189,1012,5631823-61.2020.5.47.1440,"16118,03",3,2,10745.36,5372.68,06/03/23,18 de maio de 2027,pix,não,13%,quitado
190,870,2997279-67.2024.9.84.1441,23226.06,2,2,23226.06,0.00,24/10/23,23/12/2026,Boleto,S,,ATRASADO
191,183,6425355-10.2021.6.53.2041,10931.64,7,3,4684.98,6246.64,2020-03-25,2026-07-28,TED,N,,quitado
192,1109,9398629-61.2022.5.88.8253,19248.93,2,2,19248.94,0,05/03/2025,20 de abril de 2025,Boleto,Sim,30%,atrasado
193,1440,2118934-75.2023.5.97.9563,46618.72,2,2,46618.72,0.00,2025-07-21,17/03/2024,pix,Sim,20,
194,1452,5991409-16.2021.8.44.1303,46431.19,10,3,13929.36,32501.84,2026-04-26,2026-05-09,boleto,N,0.22,quitado
195,1448,7749444-78.2021.1.20.8763,65750.96,9,7,51139.62,14611.32,20/05/2021,2024-06-02,transferência,sim,0.17,quitado
196,410,9319285-35.2025.3.19.9131,"R$ 20.546,88",6,4,13697.92,6759.81,2024-04-29,29/07/2024,Boleto,sim,,
