movimentacao_id,numero_processo,data_movimentacao,tipo_ato,advogado_responsavel,descricao,prazo_gerado,concluido
27,9108785-98.2021.3.78.6687,22 de abril de 2024,sentença,Dr. Barros,diligência externa necessária,,
28,1411065-96.2022.9.64.8271,19 de março de 2025,embargos de declaração,Dra Fontes,prazo para recurso: 25 dias úteis a contar da intimação,,S
29,4507711-38.2024.2.34.4732,10 de abril de 2021,recurso de apelação,Dr. Barros,prazo para recurso: 5 dias úteis a contar da intimação,,1
30,3667022-35.2020.9.76.3115,16/06/2020,laudo pericial,Dra. Fontes,Prazo fatal: 4 de agosto de 2026,,N
31,8678370-92.2025.7.35.9962,2019-11-10,contestação,Dra. Cavalcante,aguardando manifestação da parte contrária,,0
32,1933296-95.2024.5.69.8317,31/03/22,memoriais,DRA. CAVALCANTE,,6 de setembro de 2026,
33,6368709-92.2024.7.99.9426,26/06/2023,citação,Dra. Fontes,documentos pendentes de entrega pelo cliente,28 de abril de 2026,não
34,8066975-72.2023.7.26.7675,17/08/25,acordo extrajudicial,Dr. Barros,Prazo fatal: 2026-08-14,17/11/2026,1
35,2632721-15.2024.7.90.9593,1 de outubro de 2021,sentença,Dr. Barros,Prazo fatal: 2026-09-15,,
36,3766710-17.2025.4.91.1472,10/05/2023,petição inicial,DRA. CAVALCANTE,aguardando manifestação da parte contrária,,
37,9062552-47.2024.4.22.8265,29/05/24,laudo pericial,Dra. Cavalcante,diligência externa necessária,,sim
38,9398629-61.2022.5.88.8253,11/09/25,sentença,Dra Fontes,,,1
39,9252661-70.2020.1.46.1185,9 de fevereiro de 2026,réplica,DRA. CAVALCANTE,documentos pendentes de entrega pelo cliente,,não
40,7320713-89.2022.3.68.7881,3 de maio de 2021,laudo pericial,Dr. Barros,Prazo fatal: 5 de março de 2026,,S
41,6034606-21.2023.6.18.6684,04/08/21,habilitação,Dr. Melo,aguardando manifestação da parte contrária,,sim
42,1602496-64.2022.5.79.8340,25/05/2022,habilitação,Dra. Cavalcante,diligência externa necessária,14 de março de 2026,N
43,9108785-98.2021.3.78.6687,03/05/2025,réplica,Dr. Barros,Prazo fatal: 26/01/2026,24/05/26,0
44,8415891-60.2021.6.92.5554,23/06/2021,réplica,Dra. Cavalcante,prazo para recurso: 20 dias úteis a contar da intimação,,0
45,9573194-21.2022.1.35.8352,23 de novembro de 2025,sentença,Dra Fontes,aguardando manifestação da parte contrária,,0
46,6865513-17.2021.7.21.3938,19/10/21,intimação,Dra. Fontes,,,0
47,5747786-52.2023.7.30.3750,17/03/2021,despacho,DRA. CAVALCANTE,,,1
48,7789809-22.2020.1.73.9031,25/06/2025,agravo regimental,Dr. Melo,juntada de documentos realizada,,não
49,4865461-96.2025.2.64.9143,15/12/22,petição inicial,Dra. Fontes,Prazo fatal: 11/01/2026,,
50,8607512-63.2021.6.82.1039,2020-11-14,despacho,Dra. Fontes,Prazo fatal: 18/07/2026,15 de janeiro de 2026,
51,6160516-66.2024.5.17.7150,07/12/2025,intimação,Dr. Melo,Prazo fatal: 24 de setembro de 2026,,sim
52,6927716-18.2022.9.56.1445,2022-05-25,memoriais,Dr. Barros,documentos pendentes de entrega pelo cliente,,
53,6445422-21.2020.5.39.8096,14/11/19,despacho,Dr. Melo,documentos pendentes de entrega pelo cliente,,sim
54,2236315-26.2022.5.82.8939,28/06/2022,intimação,Dr. Barros,prazo para recurso: 8 dias úteis a contar da intimação,,não
55,6339266-27.2025.5.15.6766,30/06/22,memoriais,Dr. Melo,diligência externa necessária,30/08/2026,
56,4460247-99.2024.9.97.4840,04/07/21,acordo extrajudicial,DRA. CAVALCANTE,juntada de documentos realizada,08/03/26,
57,7486138-99.2020.5.81.4332,2 de março de 2020,recurso de apelação,Dra Fontes,juntada de documentos realizada,,N
58,6416661-36.2021.8.21.8496,19/04/23,despacho,Dr. Melo,Prazo fatal: 2026-12-28,11/03/2026,não
59,6053412-12.2021.6.72.8346,03/02/2021,recurso de apelação,Dr. Melo,audiência marcada para 05/06/2026,01/01/2026,0
60,8157599-64.2024.2.89.5276,2021-11-28,audiência de instrução,Dra. Cavalcante,juntada de documentos realizada,22/07/26,
61,4229107-99.2020.7.61.3978,15/04/2026,sentença,Dr. Barros,,,
62,1116024-57.2025.8.16.4043,24 de fevereiro de 2020,embargos de declaração,Dr. Barros,aguardando manifestação da parte contrária,22 de outubro de 2026,não
63,3724721-44.2021.9.75.5553,2026-03-15,laudo pericial,Dra. Cavalcante,documentos pendentes de entrega pelo cliente,,não
64,3734843-61.2021.3.94.2954,2022-01-28,recurso de apelação,Dr. Barros,,,não
65,7599278-46.2021.4.96.3535,30/10/2023,habilitação,Dr. Barros,prazo para recurso: 28 dias úteis a contar da intimação,,
66,8286828-70.2022.9.31.8012,19/02/26,embargos de declaração,Dra. Cavalcante,Prazo fatal: 30 de julho de 2026,2026-07-31,N
67,6075721-43.2020.9.85.8738,31/07/20,petição inicial,DRA. CAVALCANTE,,,1
68,5703772-88.2020.8.34.6114,2025-01-26,petição inicial,Dra. Fontes,prazo para recurso: 16 dias úteis a contar da intimação,26/04/26,sim
69,8986773-71.2022.6.45.5854,2021-06-24,embargos de declaração,Dra. Cavalcante,Prazo fatal: 2026-04-16,,N
70,7065068-16.2021.7.14.6489,19/03/26,intimação,Dra. Cavalcante,diligência externa necessária,,N
71,5786762-52.2021.9.21.3037,2021-01-05,embargos de declaração,dr. melo,Prazo fatal: 20 de setembro de 2026,,0
72,1183693-37.2024.1.85.2937,18/08/2025,despacho,Dra Fontes,documentos pendentes de entrega pelo cliente,,0
73,5996426-23.2022.8.20.3566,20/04/2019,sentença,Dr. Melo,prazo para recurso: 16 dias úteis a contar da intimação,,S
74,2909764-51.2025.7.78.2223,27/11/2023,citação,Dra Fontes,audiência marcada para 02/07/2026,01/08/26,sim
75,1887163-62.2025.9.93.1037,05/03/25,contestação,Dr. Barros,,,S
76,1933296-95.2024.5.69.8317,16 de abril de 2025,petição inicial,Dra Fontes,audiência marcada para 2026-05-09,17/07/26,0
77,4874996-38.2022.9.94.8154,2025-03-08,habilitação,Dra. Cavalcante,Prazo fatal: 23/10/26,,1
78,2186433-37.2022.2.12.4344,19/08/2025,despacho,Dr. Barros,prazo para recurso: 18 dias úteis a contar da intimação,,N
79,5217157-98.2020.2.64.4094,02/02/22,laudo pericial,DRA. CAVALCANTE,audiência marcada para 5 de maio de 2026,,
80,6018860-77.2022.1.94.1315,19 de dezembro de 2023,contestação,Dr. Melo,diligência externa necessária,06/04/26,N
81,4768255-51.2022.4.94.5695,27 de fevereiro de 2023,embargos de declaração,DRA. CAVALCANTE,,,1
82,7398699-88.2025.6.55.3587,20/08/2021,recurso de apelação,DRA. CAVALCANTE,juntada de documentos realizada,,S
83,8892606-62.2022.2.87.2168,2025-12-14,laudo pericial,Dr. Barros,documentos pendentes de entrega pelo cliente,,N
84,1878000-50.2025.7.58.1197,07/04/24,despacho,Dr. Melo,diligência externa necessária,,S
85,8306601-19.2020.3.50.7457,18 de maio de 2023,acordo extrajudicial,DRA. CAVALCANTE,juntada de documentos realizada,,1
86,9252661-70.2020.1.46.1185,05/02/2023,despacho,DRA. CAVALCANTE,audiência marcada para 2026-11-01,,0
87,1784068-27.2021.3.12.2538,2020-09-16,intimação,Dr. Melo,,,0
88,6779292-61.2021.4.86.2783,2023-03-05,contestação,Dra Fontes,Prazo fatal: 20/05/2026,,0
89,6779292-61.2021.4.86.2783,31 de março de 2020,laudo pericial,Dra. Cavalcante,prazo para recurso: 29 dias úteis a contar da intimação,,N
90,9636371-69.2025.8.67.4068,2022-03-04,réplica,Dr. Barros,prazo para recurso: 12 dias úteis a contar da intimação,2026-10-10,N
91,7245951-43.2021.4.11.7623,03/10/2022,embargos de declaração,Dr. Barros,,,N
92,5853247-29.2020.7.62.8870,2021-03-21,recurso de apelação,Dr. Barros,juntada de documentos realizada,,1
93,7381740-86.2021.2.88.6570,09/09/21,agravo regimental,Dr. Melo,diligência externa necessária,13 de setembro de 2026,não
94,1757615-27.2025.7.10.3762,24/01/2026,recurso de apelação,Dr. Barros,audiência marcada para 11 de abril de 2026,,S
95,1664676-19.2021.8.64.4616,2024-08-16,recurso de apelação,DRA. CAVALCANTE,juntada de documentos realizada,,S
96,7948577-74.2025.1.60.7583,21/08/24,réplica,dr. melo,prazo para recurso: 20 dias úteis a contar da intimação,,sim
97,8220628-15.2021.8.54.9077,20/08/20,sentença,Dra Fontes,juntada de documentos realizada,,0
98,9798556-59.2021.3.62.3110,23/02/2020,embargos de declaração,Dra. Cavalcante,Prazo fatal: 01/02/26,,0
99,2837371-36.2022.7.88.5428,2025-12-24,audiência de instrução,DRA. CAVALCANTE,diligência externa necessária,,S
100,2997279-67.2024.9.84.1441,16/01/2025,sentença,Dra. Fontes,,,1
101,9071705-28.2021.9.78.4746,2025-10-15,citação,Dra. Cavalcante,Prazo fatal: 2026-07-02,8 de fevereiro de 2026,N
102,5462435-11.2024.9.85.2977,12 de fevereiro de 2024,contestação,DRA. CAVALCANTE,prazo para recurso: 8 dias úteis a contar da intimação,2026-03-08,N
103,2545435-52.2025.3.59.7623,2025-11-23,petição inicial,Dr. Barros,documentos pendentes de entrega pelo cliente,2026-02-22,1
104,7381740-86.2021.2.88.6570,30/11/2022,despacho,Dra. Fontes,diligência externa necessária,,S
105,3541821-31.2021.8.96.1927,29 de dezembro de 2020,sentença,Dr. Barros,audiência marcada para 2026-06-29,,1
106,7115217-41.2025.1.67.7692,21 de agosto de 2020,habilitação,Dra. Fontes,aguardando manifestação da parte contrária,,sim
107,1784068-27.2021.3.12.2538,24 de agosto de 2020,audiência de instrução,Dr. Barros,Prazo fatal: 13/08/2026,18 de dezembro de 2026,sim
108,8630644-97.2025.3.28.1296,24 de fevereiro de 2021,audiência de instrução,Dr. Barros,documentos pendentes de entrega pelo cliente,,1
109,7486138-99.2020.5.81.4332,2025-12-08,habilitação,dr. melo,diligência externa necessária,,1
110,6944389-98.2023.1.72.8245,29/11/21,petição inicial,Dr. Melo,prazo para recurso: 8 dias úteis a contar da intimação,,sim
111,3248366-98.2020.5.11.6279,21/11/21,embargos de declaração,Dra. Fontes,audiência marcada para 20/05/26,,0
112,5514997-95.2024.1.84.8098,18/11/20,agravo regimental,Dr. Melo,Prazo fatal: 17 de fevereiro de 2026,,S
113,2397582-22.2023.9.93.4223,2020-12-06,sentença,dr. melo,prazo para recurso: 27 dias úteis a contar da intimação,,0
114,8630644-97.2025.3.28.1296,18 de dezembro de 2021,embargos de declaração,DRA. CAVALCANTE,prazo para recurso: 5 dias úteis a contar da intimação,,
115,5661974-14.2020.6.39.3137,7 de setembro de 2021,embargos de declaração,DRA. CAVALCANTE,Prazo fatal: 06/07/26,,sim
116,8286382-50.2025.4.53.4414,2024-06-08,contestação,Dr. Barros,diligência externa necessária,05/06/26,
117,6416661-36.2021.8.21.8496,01/06/24,despacho,dr. melo,documentos pendentes de entrega pelo cliente,,sim
118,1614850-25.2020.8.85.3161,18 de junho de 2023,habilitação,Dr. Barros,juntada de documentos realizada,2026-12-01,não
119,3248366-98.2020.5.11.6279,2026-03-31,acordo extrajudicial,Dra. Fontes,prazo para recurso: 14 dias úteis a contar da intimação,,S
120,7082985-88.2022.2.94.6058,06/08/20,audiência de instrução,Dra. Fontes,,,0
121,7640585-40.2023.1.57.1721,14/07/2023,agravo regimental,Dra. Fontes,Prazo fatal: 2026-11-16,,
122,5422047-80.2024.8.62.4364,13 de junho de 2024,citação,Dra. Cavalcante,diligência externa necessária,,0
123,7941836-76.2025.4.34.6543,04/01/21,petição inicial,Dr. Barros,diligência externa necessária,06/01/2026,1
124,2575202-50.2023.1.54.9627,2025-02-08,audiência de instrução,dr. melo,juntada de documentos realizada,,1
125,8368255-39.2020.9.60.4414,2025-12-30,intimação,Dra. Cavalcante,diligência externa necessária,03/08/2026,
126,4493339-70.2021.7.17.8725,2021-05-08,memoriais,dr. melo,diligência externa necessária,,N
127,4768255-51.2022.4.94.5695,17/06/2025,contestação,Dra. Cavalcante,diligência externa necessária,,sim
128,2186433-37.2022.2.12.4344,09/08/21,réplica,Dr. Barros,diligência externa necessária,,N
129,2267110-24.2021.5.78.6025,26 de novembro de 2020,agravo regimental,dr. melo,documentos pendentes de entrega pelo cliente,,1
130,6384831-67.2022.5.89.7429,10/08/2020,laudo pericial,DRA. CAVALCANTE,aguardando manifestação da parte contrária,,não
131,2292432-35.2025.5.83.7063,29/12/25,agravo regimental,Dr. Barros,,,não
132,6694761-39.2022.1.10.2199,08/04/2024,habilitação,Dr. Barros,documentos pendentes de entrega pelo cliente,22 de junho de 2026,S
133,8381610-96.2020.6.26.2533,22/08/2024,habilitação,dr. melo,documentos pendentes de entrega pelo cliente,,sim
134,8735892-74.2025.8.18.9411,18/08/25,laudo pericial,Dra. Cavalcante,diligência externa necessária,,0
135,9686751-57.2022.7.62.3494,2023-06-16,memoriais,Dr. Barros,aguardando manifestação da parte contrária,,S
136,4510407-23.2020.5.18.6055,26/08/2023,réplica,dr. melo,juntada de documentos realizada,,S
137,4180949-86.2020.3.26.7593,2021-10-30,contestação,DRA. CAVALCANTE,Prazo fatal: 2026-05-29,,1
138,7724543-49.2023.9.44.7412,27 de junho de 2021,agravo regimental,dr. melo,prazo para recurso: 21 dias úteis a contar da intimação,,não
139,5947618-28.2023.6.53.6118,2023-01-20,réplica,Dra. Fontes,,,N
140,5074974-98.2023.8.21.9881,22/08/20,sentença,DRA. CAVALCANTE,diligência externa necessária,,sim
141,7236875-79.2024.7.97.5566,7 de agosto de 2021,citação,Dr. Barros,aguardando manifestação da parte contrária,21 de abril de 2026,
142,5472823-70.2022.4.41.7624,26/05/2020,memoriais,Dra. Fontes,Prazo fatal: 5 de janeiro de 2026,,
143,7862554-22.2024.7.83.6459,5 de novembro de 2023,agravo regimental,Dra. Fontes,diligência externa necessária,,
144,6075721-43.2020.9.85.8738,22/12/20,sentença,dr. melo,,,sim
145,8382607-83.2020.6.26.3936,2020-08-23,petição inicial,DRA. CAVALCANTE,,,sim
146,4140100-24.2024.4.63.7178,2026-04-23,contestação,Dra. Cavalcante,Prazo fatal: 28/03/26,,S
147,5518767-82.2023.4.96.9873,07/12/19,petição inicial,Dra. Cavalcante,audiência marcada para 18/05/26,,sim
148,3542616-60.2022.3.87.6536,02/08/2022,petição inicial,Dr. Barros,,,não
149,7398699-88.2025.6.55.3587,6 de julho de 2022,réplica,Dr. Melo,aguardando manifestação da parte contrária,,
150,5214684-96.2020.6.84.9986,19 de junho de 2020,intimação,Dr. Barros,juntada de documentos realizada,,sim
151,9885734-21.2023.9.74.3450,26/05/20,audiência de instrução,Dra Fontes,,,N
152,1185885-59.2023.7.19.8433,30/04/2023,acordo extrajudicial,DRA. CAVALCANTE,audiência marcada para 13/12/26,,1
153,8286382-50.2025.4.53.4414,27/04/24,habilitação,Dr. Barros,Prazo fatal: 12/12/2026,06/04/2026,S
154,5432782-56.2021.2.97.6240,18/04/2021,embargos de declaração,Dr. Melo,juntada de documentos realizada,2026-10-11,sim
155,4493339-70.2021.7.17.8725,05/07/20,intimação,Dr. Barros,documentos pendentes de entrega pelo cliente,,1
156,2753004-76.2021.8.83.9874,12 de agosto de 2023,despacho,Dr. Barros,prazo para recurso: 14 dias úteis a contar da intimação,,1
157,9076234-78.2023.3.90.2702,18/08/25,petição inicial,Dra. Cavalcante,audiência marcada para 29/11/26,31/03/2026,N
158,9498791-62.2022.6.73.9564,22/03/24,laudo pericial,Dra. Cavalcante,juntada de documentos realizada,03/11/2026,N
159,9498791-62.2022.6.73.9564,21/01/2022,intimação,Dr. Melo,documentos pendentes de entrega pelo cliente,,N
160,9408522-77.2021.3.36.8376,26/09/2025,audiência de instrução,Dr. Melo,prazo para recurso: 23 dias úteis a contar da intimação,,S
161,5124342-11.2025.5.50.6107,1 de fevereiro de 2021,agravo regimental,DRA. CAVALCANTE,audiência marcada para 2026-04-27,26 de outubro de 2026,N
162,3785792-10.2020.5.78.7940,29 de novembro de 2024,despacho,dr. melo,,,1
163,4510407-23.2020.5.18.6055,1 de junho de 2022,laudo pericial,Dra. Fontes,prazo para recurso: 25 dias úteis a contar da intimação,,
164,1346701-74.2024.1.65.8985,2021-12-30,laudo pericial,Dra Fontes,juntada de documentos realizada,,1
165,3922248-27.2025.1.42.4047,2019-08-25,acordo extrajudicial,Dra Fontes,,,
166,9835331-11.2022.6.15.8602,17 de agosto de 2021,embargos de declaração,Dra. Fontes,juntada de documentos realizada,,0
167,3263740-44.2022.3.81.5402,8 de julho de 2021,laudo pericial,Dr. Melo,Prazo fatal: 2026-10-05,,S
168,5991409-16.2021.8.44.1303,21/07/25,réplica,Dr. Melo,prazo para recurso: 29 dias úteis a contar da intimação,,0
169,8717678-27.2025.5.11.4526,2022-11-07,acordo extrajudicial,Dr. Barros,Prazo fatal: 07/06/2026,30/05/2026,0
170,2884639-86.2023.2.31.8737,20/05/23,laudo pericial,dr. melo,,13/08/2026,1
171,5788467-41.2023.8.93.8134,11 de agosto de 2021,sentença,dr. melo,documentos pendentes de entrega pelo cliente,,sim
172,4452862-76.2021.3.27.3238,2024-08-02,sentença,dr. melo,documentos pendentes de entrega pelo cliente,24/11/2026,0
173,9076234-78.2023.3.90.2702,04/02/2025,contestação,dr. melo,diligência externa necessária,,S
174,2236315-26.2022.5.82.8939,2020-05-31,habilitação,Dr. Barros,prazo para recurso: 5 dias úteis a contar da intimação,,S
175,3734843-61.2021.3.94.2954,06/12/23,embargos de declaração,Dra Fontes,diligência externa necessária,2026-01-15,S
176,4131852-60.2020.1.89.9739,29/08/22,intimação,Dra Fontes,documentos pendentes de entrega pelo cliente,,N
177,4874996-38.2022.9.94.8154,12/01/23,despacho,Dra. Fontes,audiência marcada para 26/05/26,2026-10-06,S
178,2842764-33.2025.7.99.7279,29/07/2023,habilitação,DRA. CAVALCANTE,Prazo fatal: 14 de novembro de 2026,,N
179,4384627-80.2021.2.13.1061,10/06/21,audiência de instrução,Dr. Barros,diligência externa necessária,,
180,8843990-84.2020.6.68.3017,2024-07-04,recurso de apelação,dr. melo,documentos pendentes de entrega pelo cliente,,
181,7599278-46.2021.4.96.3535,12/10/2025,intimação,Dra Fontes,Prazo fatal: 2026-01-18,17/08/26,sim
182,8588997-88.2020.6.29.5987,18/11/21,sentença,dr. melo,juntada de documentos realizada,,0
183,9774395-92.2023.2.75.3192,14/09/22,réplica,Dr. Barros,,,1
184,7245951-43.2021.4.11.7623,19/03/2021,recurso de apelação,Dr. Barros,juntada de documentos realizada,,0
185,3168718-77.2025.2.92.8027,14/02/21,recurso de apelação,Dra. Cavalcante,aguardando manifestação da parte contrária,,N
186,5700249-43.2020.5.57.9341,25/03/23,audiência de instrução,Dr. Melo,aguardando manifestação da parte contrária,,não
187,1735592-50.2022.9.87.5612,2019-02-28,citação,Dr. Barros,aguardando manifestação da parte contrária,,S
188,3418432-84.2025.3.59.5858,2022-06-05,habilitação,Dr. Melo,juntada de documentos realizada,29/03/26,S
189,7633905-83.2022.9.95.2309,08/09/2023,memoriais,dr. melo,Prazo fatal: 17/03/26,,sim
190,4084503-92.2025.8.90.5515,17 de novembro de 2024,acordo extrajudicial,Dr. Melo,audiência marcada para 29/05/2026,2 de junho de 2026,N
191,6663627-76.2023.9.26.5770,2 de junho de 2025,habilitação,DRA. CAVALCANTE,juntada de documentos realizada,,N
192,2842764-33.2025.7.99.7279,27/08/23,sentença,DRA. CAVALCANTE,,,S
193,7640585-40.2023.1.57.1721,20 de agosto de 2021,memoriais,dr. melo,audiência marcada para 27/05/2026,,sim
194,3260101-88.2022.8.37.9169,23/04/23,sentença,Dra. Fontes,juntada de documentos realizada,02/02/26,
195,6101036-60.2022.7.49.3295,24/04/19,sentença,Dra. Fontes,audiência marcada para 18 de abril de 2026,22/08/26,
196,6418382-43.2020.8.63.9133,24 de junho de 2021,agravo regimental,dr. melo,juntada de documentos realizada,,não
197,5786762-52.2021.9.21.3037,21 de fevereiro de 2023,citação,Dr. Melo,prazo para recurso: 20 dias úteis a contar da intimação,,0
198,6445422-21.2020.5.39.8096,23 de janeiro de 2025,réplica,Dra Fontes,diligência externa necessária,,sim
199,5316105-58.2020.3.22.3571,26/04/2020,petição inicial,Dr. Melo,aguardando manifestação da parte contrária,,N
200,4681694-71.2021.9.28.7350,19 de maio de 2025,despacho,Dr. Barros,documentos pendentes de entrega pelo cliente,09/07/2026,
201,8630644-97.2025.3.28.1296,29/11/19,citação,dr. melo,audiência marcada para 2026-07-20,,S
202,5786762-52.2021.9.21.3037,01/01/23,audiência de instrução,Dr. Barros,,26/04/2026,sim
203,3821719-15.2025.2.86.2518,20/09/2021,contestação,Dr. Melo,Prazo fatal: 28/03/26,,
204,1887163-62.2025.9.93.1037,2023-04-08,sentença,DRA. CAVALCANTE,documentos pendentes de entrega pelo cliente,,não
205,2411026-52.2022.6.26.7373,29/03/2020,contestação,Dr. Barros,,,S
206,7724543-49.2023.9.44.7412,22/02/2024,citação,Dra Fontes,audiência marcada para 30/12/26,,1
207,6260319-38.2024.8.96.1114,27/10/23,audiência de instrução,Dra. Fontes,audiência marcada para 03/05/2026,,
208,4064382-39.2022.4.13.8937,2020-02-05,despacho,DRA. CAVALCANTE,aguardando manifestação da parte contrária,2026-08-20,N
209,8677980-28.2024.9.94.6552,25 de setembro de 2025,contestação,dr. melo,juntada de documentos realizada,,N
210,4865461-96.2025.2.64.9143,2 de junho de 2024,intimação,dr. melo,audiência marcada para 2026-04-14,17/09/26,sim
211,7438163-48.2021.3.47.1186,2023-04-09,agravo regimental,Dr. Barros,documentos pendentes de entrega pelo cliente,11/06/26,sim
212,9686751-57.2022.7.62.3494,2023-04-07,habilitação,Dr. Barros,juntada de documentos realizada,,não
213,9885734-21.2023.9.74.3450,01/09/25,habilitação,Dra Fontes,diligência externa necessária,,1
214,2461262-96.2021.6.48.1315,19/10/2020,intimação,Dr. Barros,documentos pendentes de entrega pelo cliente,,1
215,6663627-76.2023.9.26.5770,2020-01-11,habilitação,Dra. Fontes,audiência marcada para 2026-05-20,,N
216,9319285-35.2025.3.19.9131,01/05/24,citação,Dra Fontes,juntada de documentos realizada,,S
217,3541821-31.2021.8.96.1927,2024-02-10,citação,Dra Fontes,,,sim
218,2236315-26.2022.5.82.8939,29/10/2021,sentença,Dra. Cavalcante,documentos pendentes de entrega pelo cliente,,1
219,5545511-73.2023.1.66.9757,13/11/24,citação,Dra. Cavalcante,,,0
220,7999133-20.2023.7.26.1121,2025-04-29,embargos de declaração,Dra Fontes,Prazo fatal: 10/09/2026,,1
221,9057960-29.2025.5.10.6072,26/05/21,habilitação,dr. melo,juntada de documentos realizada,,N
222,7224257-29.2020.8.88.9110,15/12/20,audiência de instrução,Dra. Cavalcante,prazo para recurso: 11 dias úteis a contar da intimação,,N
223,9071705-28.2021.9.78.4746,02/11/21,recurso de apelação,Dra Fontes,audiência marcada para 2026-04-10,,não
224,6018860-77.2022.1.94.1315,2020-03-03,petição inicial,Dr. Barros,prazo para recurso: 20 dias úteis a contar da intimação,2026-03-26,não
225,5732779-86.2025.4.28.7831,24/08/23,acordo extrajudicial,Dr. Barros,juntada de documentos realizada,24 de novembro de 2026,0
226,8590346-68.2020.7.63.7780,13/08/23,embargos de declaração,Dr. Barros,documentos pendentes de entrega pelo cliente,,N
227,3778380-86.2023.9.32.5849,24/04/2023,laudo pericial,Dra. Cavalcante,audiência marcada para 17/09/2026,,S
228,8286828-70.2022.9.31.8012,27 de fevereiro de 2021,agravo regimental,DRA. CAVALCANTE,diligência externa necessária,,sim
229,9835331-11.2022.6.15.8602,6 de fevereiro de 2026,habilitação,Dra. Cavalcante,,,0
230,3376786-12.2020.7.64.5093,20/01/2026,despacho,Dr. Melo,Prazo fatal: 2026-08-03,,não
231,1878000-50.2025.7.58.1197,10 de junho de 2024,laudo pericial,Dr. Barros,aguardando manifestação da parte contrária,30/01/26,N
232,7553290-31.2023.9.36.9282,13/09/2020,memoriais,Dr. Melo,diligência externa necessária,,0
233,2884639-86.2023.2.31.8737,28 de novembro de 2025,embargos de declaração,Dr. Barros,audiência marcada para 20 de abril de 2026,,
234,5112941-62.2021.1.89.5887,2022-09-28,laudo pericial,dr. melo,prazo para recurso: 5 dias úteis a contar da intimação,28/11/26,não
235,7245951-43.2021.4.11.7623,15 de junho de 2020,réplica,Dr. Melo,Prazo fatal: 2026-09-25,,
236,8936104-83.2022.1.39.7934,25/05/25,habilitação,Dr. Melo,juntada de documentos realizada,3 de março de 2026,S
237,2675642-32.2022.8.65.5499,03/10/22,acordo extrajudicial,Dra Fontes,documentos pendentes de entrega pelo cliente,,não
